node Id source	node Id dst	edge hierarchical prop
1	54	same
54	1	same
57	58	same
58	57	same
51	59	same
59	51	same
53	59	same
59	53	same
54	59	same
59	54	same
1	59	same
59	1	same
51	53	same
53	51	same
51	54	same
54	51	same
51	1	same
1	51	same
53	51	same
51	53	same
53	54	same
54	53	same
53	1	same
1	53	same
54	51	same
51	54	same
54	53	same
53	54	same
54	1	same
1	54	same
1	51	same
51	1	same
1	53	same
53	1	same
1	54	same
54	1	same
57	59	same
59	57	same
51	60	same
60	51	same
53	60	same
60	53	same
54	60	same
60	54	same
1	60	same
60	1	same
51	53	same
53	51	same
51	54	same
54	51	same
51	1	same
1	51	same
53	51	same
51	53	same
53	54	same
54	53	same
53	1	same
1	53	same
54	51	same
51	54	same
54	53	same
53	54	same
54	1	same
1	54	same
1	51	same
51	1	same
1	53	same
53	1	same
1	54	same
54	1	same
57	60	same
60	57	same
51	61	same
61	51	same
53	61	same
61	53	same
54	61	same
61	54	same
1	61	same
61	1	same
51	53	same
53	51	same
51	54	same
54	51	same
51	1	same
1	51	same
53	51	same
51	53	same
53	54	same
54	53	same
53	1	same
1	53	same
54	51	same
51	54	same
54	53	same
53	54	same
54	1	same
1	54	same
1	51	same
51	1	same
1	53	same
53	1	same
1	54	same
54	1	same
57	61	same
61	57	same
51	62	same
62	51	same
53	62	same
62	53	same
54	62	same
62	54	same
1	62	same
62	1	same
51	53	same
53	51	same
51	54	same
54	51	same
51	1	same
1	51	same
53	51	same
51	53	same
53	54	same
54	53	same
53	1	same
1	53	same
54	51	same
51	54	same
54	53	same
53	54	same
54	1	same
1	54	same
1	51	same
51	1	same
1	53	same
53	1	same
1	54	same
54	1	same
57	62	same
62	57	same
51	63	same
63	51	same
53	63	same
63	53	same
54	63	same
63	54	same
1	63	same
63	1	same
51	53	same
53	51	same
51	54	same
54	51	same
51	1	same
1	51	same
53	51	same
51	53	same
53	54	same
54	53	same
53	1	same
1	53	same
54	51	same
51	54	same
54	53	same
53	54	same
54	1	same
1	54	same
1	51	same
51	1	same
1	53	same
53	1	same
1	54	same
54	1	same
57	63	same
63	57	same
51	64	same
64	51	same
53	64	same
64	53	same
54	64	same
64	54	same
1	64	same
64	1	same
65	64	same
64	65	same
51	53	same
53	51	same
51	54	same
54	51	same
51	1	same
1	51	same
51	65	same
65	51	same
53	51	same
51	53	same
53	54	same
54	53	same
53	1	same
1	53	same
53	65	same
65	53	same
54	51	same
51	54	same
54	53	same
53	54	same
54	1	same
1	54	same
54	65	same
65	54	same
1	51	same
51	1	same
1	53	same
53	1	same
1	54	same
54	1	same
1	65	same
65	1	same
65	51	same
51	65	same
65	53	same
53	65	same
65	54	same
54	65	same
65	1	same
1	65	same
66	64	same
64	66	same
51	67	same
67	51	same
53	67	same
67	53	same
54	67	same
67	54	same
1	67	same
67	1	same
65	67	same
67	65	same
51	53	same
53	51	same
51	54	same
54	51	same
51	1	same
1	51	same
51	65	same
65	51	same
53	51	same
51	53	same
53	54	same
54	53	same
53	1	same
1	53	same
53	65	same
65	53	same
54	51	same
51	54	same
54	53	same
53	54	same
54	1	same
1	54	same
54	65	same
65	54	same
1	51	same
51	1	same
1	53	same
53	1	same
1	54	same
54	1	same
1	65	same
65	1	same
65	51	same
51	65	same
65	53	same
53	65	same
65	54	same
54	65	same
65	1	same
1	65	same
68	67	lower
67	68	higher
66	67	same
67	66	same
69	70	same
70	69	same
71	70	same
70	71	same
69	72	same
72	69	same
73	72	same
72	73	same
69	73	same
73	69	same
73	69	same
69	73	same
68	72	lower
72	68	higher
66	72	same
72	66	same
74	75	same
75	74	same
71	75	same
75	71	same
74	76	same
76	74	same
77	76	same
76	77	same
78	76	same
76	78	same
74	77	same
77	74	same
74	78	same
78	74	same
77	74	same
74	77	same
77	78	same
78	77	same
78	74	same
74	78	same
78	77	same
77	78	same
68	76	lower
76	68	higher
71	76	same
76	71	same
79	80	same
80	79	same
71	80	same
80	71	same
79	81	same
81	79	same
82	81	same
81	82	same
79	82	same
82	79	same
82	79	same
79	82	same
68	81	lower
81	68	higher
71	81	same
81	71	same
66	83	same
83	66	same
84	85	same
85	84	same
68	85	lower
85	68	higher
71	85	same
85	71	same
65	86	same
86	65	same
87	86	same
86	87	same
65	87	same
87	65	same
87	65	same
65	87	same
71	86	same
86	71	same
65	88	same
88	65	same
87	88	same
88	87	same
89	88	same
88	89	same
65	87	same
87	65	same
65	89	same
89	65	same
87	65	same
65	87	same
87	89	same
89	87	same
89	65	same
65	89	same
89	87	same
87	89	same
68	88	lower
88	68	higher
